run,triage_mean,triage_std,bed_mean,bed_std,lab_mean,lab_std,total_mean,total_std
run_seed103_beds5_labs1,156.86056464684728,89.27986219968003,37.629330130806736,45.580695736847,13.784285911209727,22.122997318637818,322.8902478056048,203.45514239707938
run_seed112_beds3_labs1,64.42222686330348,47.41708326436164,173.49595546612903,126.76273793488151,14.349679836254833,30.061741391319973,326.6067689730614,204.94232294142623
run_seed161_beds5_labs2,49.329503034248354,26.193840246117784,119.53645650507,95.90782653649102,18.113072028406595,33.99145832329497,264.793166663825,143.71352504947157
run_seed130_beds5_labs1,124.93456144270536,83.68172351121862,110.02158873611845,98.74142551297933,10.34311596200948,19.789819575144698,314.31638498893983,191.11978920429323
run_seed110_beds10_labs1,192.968889333054,131.2935541729189,16.99237537600533,24.167951865742214,8.446576539007635,23.054905669125343,318.21197265618963,157.52746052770829
run_seed142_beds3_labs1,59.93589911076854,31.042243571644963,245.55491048292043,157.4987624770439,17.388521691231766,29.619877431694288,425.88581486005404,191.89534469616981
run_seed114_beds5_labs1,87.95552139340435,59.43787260818595,200.85371356808994,141.89296918373637,8.696813692689393,16.181763992324093,369.5224669847833,197.8488507461244
run_seed121_beds5_labs5,112.3469341390906,74.55590890137566,160.23270226138348,99.64825397907049,13.251405134195288,29.180531867559555,348.19267763546463,168.13502179525904
run_seed113_beds3_labs1,39.907159219198434,38.5575067474766,225.242021672186,156.1392729583235,14.873172437398512,24.620924162628736,347.116298275485,202.46159964508408
run_seed102_beds5_labs1,78.51119102623781,57.82415704867326,134.58834543778275,119.13943951466355,12.624225049605837,23.482830891580104,330.1125013825455,186.4240681674533
run_seed162_beds1_labs1,9.196866192464617,6.127187052792964,183.61631920629037,171.48333347945766,28.426745947696297,32.62670210900922,315.2219603638159,214.34643208481643
run_seed114_beds8_labs1,172.4834943059616,130.70200678509113,27.097389110106295,36.372708577379285,10.917031587341409,21.802058231922196,343.7941752233866,186.69076260665747
run_seed113_beds8_labs1,125.7099162559594,113.78434789089246,82.22870429462205,60.6651775746181,8.689677098218665,15.72447602578814,296.1393669822564,162.17976105356158
run_seed142_beds5_labs1,145.66628155273278,80.77360739651684,91.52797012546057,110.09951714372723,14.909606905382928,31.282473371790292,364.6526998755387,196.5320499697853
run_seed114_beds3_labs1,63.10915602954705,48.60911651985108,163.7254164729154,102.31462633941614,10.925064638767308,15.569234765087153,306.7974676996055,183.74952740489223
run_seed121_beds5_labs1,96.38437527342826,64.46100727050765,80.42970122728603,56.621191960482676,11.914269706131957,22.10029339633037,293.8707355542393,152.32483754408975
run_seed142_beds8_labs3,155.14309034491768,92.92103858053505,148.64875482697352,85.80160074686117,16.764172352495777,25.914752980819397,385.7104873733121,152.04892378382075
run_seed113_beds5_labs1,72.869485607553,58.99043634563545,181.42017300358086,124.89333113140101,9.477577406372632,16.22344348760372,330.31138185804724,170.65698553530711
run_seed112_beds2_labs1,38.26101119215116,28.482544201566462,253.7439029254323,198.82602770269258,15.664525918421903,24.0671234566637,367.7225961815605,229.79734390703993
run_seed121_beds5_labs2,128.80645323464304,85.0459528499707,146.8022309595803,82.67259835711815,14.716737966876178,32.58216924698752,348.86694958488863,161.06143899686603
run_seed114_beds10_labs1,173.775325819109,110.10540532496091,25.227383631252536,28.26674830521468,7.916795292730188,15.591175705307933,330.5134724354987,159.41537455318152
run_seed140_beds3_labs1,43.78085495687193,29.162343700093214,191.09588879365273,127.94249035807704,12.773971402768463,22.923782895457062,326.95263693959134,179.77843167156763
run_seed132_beds5_labs1,72.31675083692744,48.804709047664346,176.14207571622347,133.09144116471342,15.493220851807303,31.70173367988235,355.9034908413776,174.64611214660033
run_seed163_beds5_labs2,10.280785909790124,8.896437471086982,150.55754987288645,113.2420912168266,14.788543247289025,30.184800870705544,232.3824966822576,117.50196625875631
run_seed124_beds5_labs2,135.54294658743527,75.894320894718,149.51394184953656,108.99454817492575,17.06144644349956,26.321478912315392,375.7749003400079,174.43783003383416
